1,cliente_1,apellido_1,cliente_1@example.ex,600000001,Valladolid
2,cliente_2,apellido_2,cliente_2@example.ex,600000002,Vizcaya
3,cliente_3,apellido_3,cliente_3@example.ex,600000003,Zaragoza
4,cliente_4,apellido_4,cliente_4@example.ex,600000004,Leon
5,cliente_5,apellido_5,cliente_5@example.ex,600000005,Castellon
6,cliente_6,apellido_6,cliente_6@example.ex,600000006,La Rioja
7,cliente_7,apellido_7,cliente_7@example.ex,600000007,Burgos
8,cliente_8,apellido_8,cliente_8@example.ex,600000008,Cantabria
9,cliente_9,apellido_9,cliente_9@example.ex,600000009,Orense
10,cliente_10,apellido_10,cliente_10@example.ex,600000010,Navarra
11,cliente_11,apellido_11,cliente_11@example.ex,600000011,Burgos
12,cliente_12,apellido_12,cliente_12@example.ex,600000012,Soria
13,cliente_13,apellido_13,cliente_13@example.ex,600000013,Alicante
14,cliente_14,apellido_14,cliente_14@example.ex,600000014,Huelva
15,cliente_15,apellido_15,cliente_15@example.ex,600000015,La Coruña
16,cliente_16,apellido_16,cliente_16@example.ex,600000016,Vizcaya
17,cliente_17,apellido_17,cliente_17@example.ex,600000017,La Coruña
18,cliente_18,apellido_18,cliente_18@example.ex,600000018,Segovia
19,cliente_19,apellido_19,cliente_19@example.ex,600000019,Albacete
20,cliente_20,apellido_20,cliente_20@example.ex,600000020,Alava
21,cliente_21,apellido_21,cliente_21@example.ex,600000021,Sevilla
22,cliente_22,apellido_22,cliente_22@example.ex,600000022,Cadiz
23,cliente_23,apellido_23,cliente_23@example.ex,600000023,Asturias
24,cliente_24,apellido_24,cliente_24@example.ex,600000024,Cuenca
25,cliente_25,apellido_25,cliente_25@example.ex,600000025,Leon
26,cliente_26,apellido_26,cliente_26@example.ex,600000026,Cordoba
27,cliente_27,apellido_27,cliente_27@example.ex,600000027,Alava
28,cliente_28,apellido_28,cliente_28@example.ex,600000028,Almeria
29,cliente_29,apellido_29,cliente_29@example.ex,600000029,Cadiz
30,cliente_30,apellido_30,cliente_30@example.ex,600000030,Soria
