101,cliente_101,apellido_101,cliente_101@example.ex,600000101,Soria
102,cliente_102,apellido_102,cliente_102@example.ex,600000102,Palencia
103,cliente_103,apellido_103,cliente_103@example.ex,600000103,Ciudad Real
104,cliente_104,apellido_104,cliente_104@example.ex,600000104,La Coruña
105,cliente_105,apellido_105,cliente_105@example.ex,600000105,La Coruña
106,cliente_106,apellido_106,cliente_106@example.ex,600000106,Castellon
107,cliente_107,apellido_107,cliente_107@example.ex,600000107,Tarragona
108,cliente_108,apellido_108,cliente_108@example.ex,600000108,Pontevedra
109,cliente_109,apellido_109,cliente_109@example.ex,600000109,Caceres
110,cliente_110,apellido_110,cliente_110@example.ex,600000110,Pontevedra
111,cliente_111,apellido_111,cliente_111@example.ex,600000111,Burgos
112,cliente_112,apellido_112,cliente_112@example.ex,600000112,Salamanca
113,cliente_113,apellido_113,cliente_113@example.ex,600000113,Vizcaya
114,cliente_114,apellido_114,cliente_114@example.ex,600000114,Lerida
115,cliente_115,apellido_115,cliente_115@example.ex,600000115,Gerona
116,cliente_116,apellido_116,cliente_116@example.ex,600000116,Alicante
117,cliente_117,apellido_117,cliente_117@example.ex,600000117,Toledo
118,cliente_118,apellido_118,cliente_118@example.ex,600000118,Tarragona
119,cliente_119,apellido_119,cliente_119@example.ex,600000119,Valladolid
120,cliente_120,apellido_120,cliente_120@example.ex,600000120,La Rioja
121,cliente_121,apellido_121,cliente_121@example.ex,600000121,Albacete
122,cliente_122,apellido_122,cliente_122@example.ex,600000122,Alicante
123,cliente_123,apellido_123,cliente_123@example.ex,600000123,Ciudad Real
124,cliente_124,apellido_124,cliente_124@example.ex,600000124,Sevilla
125,cliente_125,apellido_125,cliente_125@example.ex,600000125,Madrid
126,cliente_126,apellido_126,cliente_126@example.ex,600000126,Burgos
127,cliente_127,apellido_127,cliente_127@example.ex,600000127,Ciudad Real
128,cliente_128,apellido_128,cliente_128@example.ex,600000128,Valencia
129,cliente_129,apellido_129,cliente_129@example.ex,600000129,Huesca
130,cliente_130,apellido_130,cliente_130@example.ex,600000130,Granada
